gender,age,department,total_usetime,social_usetime,communication_usetime,entertainment_usetime,news_usetime,system_usetime,notification_usetime,view_order_top,view_order_middle,scenario,order111111,order1122,order123,order222
M,3,資工,4,4,4,0,0,0,0,1,2,commuting,scnewy,scenwy,scnewy,csenwy
M,4,工業工程,0,0,0,0,0,0,0,1,2,commuting,nwcsye,nwcsey,ncwesy,nwcsey
F,2,經濟系,2,1,1,1,0,0,0,1,2,commuting,ncsewy,nceswy,ncsewy,cneswy
F,4,企業管理,1,0,0,1,0,0,0,1,2,resting,ncswye,ncswey,ncsewy,cnswey
F,2,資工系,2,?,?,?,?,?,?,1,3,wakingup,cnswey,cnswey,cnsewy,cnswey
M,4,無,2,1,2,0,1,0,1,1,3,resting,scwney,scnwey,scweny,csnwey
M,2,電機系,4,2,1,4,0,0,0,1,2,working,csweny,csewny,csweny,csewny
F,2,資工,2,1,1,1,0,0,0,1,2,working,csenwy,csenwy,cesnwy,csenwy
F,2,教科系,3,2,0,0,0,0,1,2,1,working,ncswye,ncswey,ncsewy,cnswey
M,2,人社學士班,3,2,1,1,0,0,0,1,2,working,cnswye,cnswey,cnsewy,cnswey
F,3,經濟,4,2,1,2,1,1,1,1,2,resting,csenwy,csenwy,cesnwy,csenwy
M,1,物理系,3,1,2,2,0,0,0,1,2,resting,nywesc,nyewcs,nwyces,nyewcs
M,2,計財,2,0,0,2,0,0,0,1,3,working,scewyn,scewny,scenwy,csewny
M,2,電機系,3,1,1,2,0,0,0,1,2,commuting,csewny,csewny,cesnwy,csewny
F,2,電工系,3,3,2,0,0,0,0,1,2,working,cnsywe,cnsyew,cnsewy,cnsyew
F,2,資工系,3,3,2,1,0,0,0,1,2,wakingup,csenwy,csenwy,cesnwy,csenwy
M,2,計財系,3,2,1,2,0,0,0,1,2,commuting,scnywe,scnyew,scnewy,csnyew
F,2,工工系,3,2,2,1,0,0,0,2,1,working,csenwy,csenwy,cesnwy,csenwy
F,2,教科系,3,1,0,3,0,0,0,1,2,wakingup,cnseyw,cneswy,cnsewy,cneswy
M,2,資財系,4,3,2,0,0,0,0,1,2,resting,csenwy,csenwy,cesnwy,csenwy
F,2,資工系,3,2,2,0,0,0,0,1,2,wakingup,csnwey,csnwey,cnsewy,csnwey
M,2,電資,3,1,1,2,1,0,0,1,2,wakingup,cewsyn,ceswny,cewnsy,ceswny
M,2,奈米學士班,0,0,2,3,4,2,1,3,2,commuting,cwseny,cwesny,csweny,cwesny
M,2,資工系,4,?,?,?,?,?,?,1,2,resting,csnwey,csnwey,cnsewy,csnwey
M,3,資工所,1,1,0,0,0,0,0,1,2,working,ncwsye,ncswey,ncwesy,cnswey
F,2,資工,2,1,1,1,0,0,0,1,2,wakingup,csewny,csewny,cesnwy,csewny
F,2,英教系,4,4,4,4,0,0,0,1,2,commuting,cseynw,cseynw,cesnwy,cseynw
F,2,中山大學化學系,4,2,1,3,0,0,0,1,2,wakingup,swecyn,swceny,sewcny,swceny
M,4,食品研究所,4,2,2,2,0,0,0,1,2,resting,csnywe,csnyew,cnsewy,csnyew
F,2,資工系,4,3,1,1,0,0,0,1,2,wakingup,cwnsey,cwnsey,cnwesy,cwnsey
F,2,應用化學系,4,3,3,2,0,0,0,1,2,commuting,wcnsey,wcnsey,wcnesy,cwnsey
M,2,資工系,4,4,1,4,0,0,0,1,2,working,csenyw,csenwy,cesnwy,csenwy
