gender,age,department,total_usetime,social_usetime,communication_usetime,entertainment_usetime,news_usetime,system_usetime,notification_usetime,view_order_top,view_order_middle,view_order_bottom,scenario,tol_111111,tol_1122,tol_123,tol_222
F,2,中山大學化學系,4,2,1,3,0,0,0,1,2,3,resting,secwyn,secwny,scenwy,escwny
M,2,數學系,3,?,?,?,?,?,?,1,2,3,commuting,cswnye,csnwey,csweny,csnwey
M,2,資工系,3,0,2,2,0,0,0,1,2,3,wakingup,ncsewy,nceswy,ncsewy,cneswy
F,2,資工系,3,?,?,?,?,?,?,1,2,3,wakingup,ncswye,ncswey,ncsewy,cnswey
M,4,食品研究所,4,2,2,2,0,0,0,1,2,3,resting,csnywe,csnyew,cnsewy,csnyew
F,4,資工,4,2,3,3,0,0,0,1,2,3,resting,csnewy,csenwy,cnsewy,csenwy
F,2,經濟,3,2,0,4,0,0,0,2,3,1,wakingup,csewny,csewny,cesnwy,csewny
M,2,資工系,2,1,0,2,0,0,0,1,2,3,wakingup,ncswey,ncswey,ncsewy,cnswey
F,1,原科院學士班,1,1,1,1,0,0,0,1,2,3,resting,scewyn,scewny,scenwy,csewny
F,2,醫放系,3,1,2,0,0,0,0,1,2,3,working,cnswey,cnswey,cnsewy,cnswey
M,2,數學系,3,?,?,?,?,?,?,1,2,3,wakingup,csewny,csewny,cesnwy,csewny
F,4,中文,2,2,1,0,0,0,0,1,2,3,working,cnswye,cnswey,cnsewy,cnswey
F,2,資訊工程系,3,2,2,1,0,0,0,1,2,3,wakingup,ncswye,ncswey,ncsewy,cnswey
M,1,經濟系,3,2,1,1,0,0,0,3,2,1,commuting,ywnsec,ywnsce,ynwces,wynsce
F,2,資工系,1,1,0,0,0,0,0,1,2,3,working,scewny,scewny,scenwy,csewny
M,2,資工,3,1,1,3,0,0,0,1,2,3,wakingup,nwcsey,nwcsey,ncwesy,nwcsey
F,4,機械,1,1,0,0,1,0,0,1,2,3,wakingup,scewyn,scewny,scenwy,csewny
